City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
87,Ilhabela,BR,2021-04-19 01:07:39,-23.7781,-45.3581,71.58,90,54,7.38
88,Trinidad,BO,2021-04-19 01:07:40,-14.8333,-64.9,73.94,93,7,2.62
89,Parana,AR,2021-04-19 01:07:40,-31.732,-60.5238,73.0,85,0,1.99
90,Georgetown,MY,2021-04-19 01:07:40,5.4112,100.3354,84.2,89,20,2.3
91,Bredasdorp,ZA,2021-04-19 01:07:41,-34.5322,20.0403,66.2,82,98,6.91
92,Yatou,CN,2021-04-19 01:07:41,37.15,122.3833,61.14,43,0,13.78
93,Clyde River,CA,2021-04-19 01:07:41,70.4692,-68.5914,3.2,85,90,12.66
94,Lata,PT,2021-04-19 01:07:42,40.1629,-8.3327,59.0,89,100,1.07
95,Tasiilaq,GL,2021-04-19 01:07:42,65.6145,-37.6368,15.8,73,0,14.97
96,Geraldton,AU,2021-04-19 01:07:43,-28.7667,114.6,66.2,55,0,14.97
97,Sobolevo,RU,2021-04-19 01:07:43,54.4299,31.8996,41.32,87,97,9.1
98,Bayir,TR,2021-04-19 01:07:43,37.2687,28.2167,59.0,67,75,6.91
99,Nikolskoye,RU,2021-04-19 01:07:44,59.7035,30.7861,42.8,65,0,4.47
100,Mahajanga,MG,2021-04-19 01:07:44,-15.7167,46.3167,75.2,69,20,8.05
101,Aswan,EG,2021-04-19 01:03:25,24.0934,32.907,82.0,32,0,9.53
102,Saint-Augustin,CA,2021-04-19 01:02:55,51.226,-58.6502,36.7,95,100,23.82
103,Alta Floresta,BR,2021-04-19 01:07:45,-9.8756,-56.0861,71.26,95,100,1.45
104,Kampot,KH,2021-04-19 01:07:45,10.6167,104.1833,78.8,89,40,3.44
105,Batsfjord,NO,2021-04-19 01:07:46,70.6345,29.7185,33.08,89,91,13.27
106,Leningradskiy,RU,2021-04-19 01:07:46,69.3833,178.4167,32.27,65,0,9.82
107,Sawakin,SD,2021-04-19 01:07:47,19.1059,37.3321,79.72,69,0,7.63
108,Taoudenni,ML,2021-04-19 01:06:09,22.6783,-3.9836,79.75,14,0,13.56
